workers,lambda_tps,mode,offered,decided,settled,rb_tampered,rb_valid_watchdog,unresolved,dec_p50_ms,dec_p99_ms,final_p50_ms,final_p99_ms,settle_tps,max_pending,mean_pending,backlog_at_offer_end,drain_ms,max_exposure_eur,reconcile_retries
1,2,A,8,8,8,0,0,0,214.68,229.41,215.58,233.06,2.14,1,0.46,0,227,0,0
1,2,B,8,8,8,0,0,0,8.47,9.22,235.55,237.18,2.14,1,0.48,0,239,1000000,0
1,4,A,16,16,16,0,0,0,221.81,229.89,223.34,230.85,4.01,1,0.87,0,228,0,0
1,4,B,16,16,16,0,0,0,7.79,8.56,228.85,235.86,4.01,1,0.87,0,235,1000000,0
1,8,A,32,31,31,1,0,0,1597.68,3052.94,1692.81,3054.49,4.46,15,7.54,14,3068,0,0
1,8,B,32,32,31,1,0,0,6.60,10.95,1740.68,3146.78,4.41,15,7.99,14,3156,15000000,50
1,16,A,64,61,61,3,0,0,4903.35,9663.73,5062.27,9664.73,4.43,46,23.12,45,9833,0,0
1,16,B,64,64,61,3,0,0,3.85,9.11,5119.17,9759.44,4.40,46,23.31,45,9925,46000000,370
1,32,A,128,122,122,6,0,0,11921.81,23382.98,11922.52,23383.36,4.43,110,55.00,109,23571,0,0
1,32,B,128,128,86,6,36,0,3.56,7.21,12169.61,16985.11,4.10,110,66.15,109,16986,110000000,1664
4,2,A,8,8,8,0,0,0,223.45,230.53,224.43,230.83,2.13,1,0.47,0,235,0,0
4,2,B,8,8,8,0,0,0,7.91,8.73,225.82,228.41,2.14,1,0.47,0,236,1000000,0
4,4,A,16,16,16,0,0,0,222.29,224.39,222.66,224.94,4.01,1,0.89,0,222,0,0
4,4,B,16,16,16,0,0,0,6.22,7.26,225.93,234.45,4.01,1,0.89,0,234,1000000,0
4,8,A,32,31,31,1,0,0,222.78,232.66,223.34,233.19,7.53,2,1.72,1,236,0,0
4,8,B,32,32,31,1,0,0,6.47,9.63,225.26,239.74,7.52,2,1.72,1,234,2000000,0
4,16,A,64,61,61,3,0,0,221.89,228.45,222.44,228.99,14.60,4,3.37,3,235,0,0
4,16,B,64,64,61,3,0,0,5.89,7.25,224.93,227.14,14.58,4,3.39,3,235,4000000,0
4,32,A,128,122,122,6,0,0,1758.05,3222.49,1758.61,3223.19,16.91,60,30.46,59,3234,0,0
4,32,B,128,128,122,6,0,0,6.00,7.47,1762.83,3221.31,16.91,60,30.43,59,3232,60000000,204
