verify_delay_ms,mode,rep,decision_ms
0,A,0,2.310
0,B,0,5.120
0,A,1,2.420
0,B,1,4.550
0,A,2,2.060
0,B,2,4.450
0,A,3,1.930
0,B,3,4.920
0,A,4,2.730
0,B,4,5.610
0,A,5,3.730
0,B,5,4.210
0,A,6,1.960
0,B,6,4.160
0,A,7,2.440
0,B,7,5.460
0,A,8,2.440
0,B,8,7.730
0,A,9,2.320
0,B,9,4.770
0,A,10,2.030
0,B,10,3.760
0,A,11,2.240
0,B,11,4.410
10,A,0,14.040
10,B,0,5.710
10,A,1,13.840
10,B,1,3.720
10,A,2,13.970
10,B,2,4.050
10,A,3,13.160
10,B,3,4.240
10,A,4,14.270
10,B,4,5.800
10,A,5,12.850
10,B,5,3.930
10,A,6,12.850
10,B,6,3.370
10,A,7,12.850
10,B,7,4.070
10,A,8,13.710
10,B,8,5.600
10,A,9,13.910
10,B,9,4.950
10,A,10,12.340
10,B,10,3.570
10,A,11,12.890
10,B,11,4.160
25,A,0,29.330
25,B,0,5.200
25,A,1,28.660
25,B,1,3.790
25,A,2,28.000
25,B,2,3.710
25,A,3,27.700
25,B,3,5.310
25,A,4,27.510
25,B,4,3.550
25,A,5,29.210
25,B,5,4.300
25,A,6,27.830
25,B,6,4.680
25,A,7,28.160
25,B,7,3.600
25,A,8,28.520
25,B,8,3.860
25,A,9,27.950
25,B,9,6.580
25,A,10,27.290
25,B,10,3.720
25,A,11,27.500
25,B,11,4.080
50,A,0,52.690
50,B,0,4.690
50,A,1,52.390
50,B,1,3.920
50,A,2,52.800
50,B,2,5.850
50,A,3,52.520
50,B,3,5.190
50,A,4,52.080
50,B,4,3.900
50,A,5,53.400
50,B,5,4.540
50,A,6,52.300
50,B,6,3.750
50,A,7,54.230
50,B,7,5.370
50,A,8,53.110
50,B,8,5.120
50,A,9,51.990
50,B,9,3.540
50,A,10,54.820
50,B,10,5.850
50,A,11,54.470
50,B,11,3.540
75,A,0,77.940
75,B,0,4.520
75,A,1,78.070
75,B,1,4.570
75,A,2,77.890
75,B,2,4.700
75,A,3,77.190
75,B,3,3.910
75,A,4,79.470
75,B,4,5.110
75,A,5,77.780
75,B,5,4.520
75,A,6,78.850
75,B,6,3.670
75,A,7,77.540
75,B,7,3.940
75,A,8,77.940
75,B,8,4.030
75,A,9,78.370
75,B,9,5.220
75,A,10,77.660
75,B,10,3.420
75,A,11,78.200
75,B,11,4.730
100,A,0,102.270
100,B,0,3.550
100,A,1,102.360
100,B,1,4.050
100,A,2,103.790
100,B,2,5.040
100,A,3,103.110
100,B,3,4.190
100,A,4,102.260
100,B,4,3.560
100,A,5,101.940
100,B,5,4.110
100,A,6,103.500
100,B,6,4.410
100,A,7,103.510
100,B,7,4.570
100,A,8,103.770
100,B,8,5.420
100,A,9,103.250
100,B,9,3.450
100,A,10,103.560
100,B,10,5.310
100,A,11,103.640
100,B,11,5.470
150,A,0,153.910
150,B,0,3.690
150,A,1,152.680
150,B,1,4.280
150,A,2,152.110
150,B,2,3.780
150,A,3,153.670
150,B,3,4.320
150,A,4,154.300
150,B,4,5.160
150,A,5,153.920
150,B,5,6.120
150,A,6,153.330
150,B,6,4.490
150,A,7,153.070
150,B,7,4.110
150,A,8,152.290
150,B,8,4.420
150,A,9,152.220
150,B,9,3.330
150,A,10,151.750
150,B,10,3.530
150,A,11,153.710
150,B,11,5.470
200,A,0,202.890
200,B,0,5.320
200,A,1,203.920
200,B,1,4.630
200,A,2,202.400
200,B,2,4.620
200,A,3,203.210
200,B,3,5.870
200,A,4,202.820
200,B,4,3.960
200,A,5,202.790
200,B,5,4.210
200,A,6,204.560
200,B,6,4.750
200,A,7,203.950
200,B,7,4.440
200,A,8,202.390
200,B,8,3.440
200,A,9,203.210
200,B,9,4.440
200,A,10,202.710
200,B,10,4.530
200,A,11,203.800
200,B,11,5.580
210,A,0,212.970
210,B,0,5.280
210,A,1,213.460
210,B,1,3.630
210,A,2,213.670
210,B,2,5.950
210,A,3,211.970
210,B,3,3.170
210,A,4,213.000
210,B,4,3.550
210,A,5,212.170
210,B,5,3.250
210,A,6,215.170
210,B,6,6.180
210,A,7,212.770
210,B,7,5.570
210,A,8,212.810
210,B,8,4.850
210,A,9,213.050
210,B,9,5.180
210,A,10,211.880
210,B,10,3.950
210,A,11,212.330
210,B,11,3.380
250,A,0,252.410
250,B,0,3.550
250,A,1,253.530
250,B,1,5.120
250,A,2,254.970
250,B,2,6.930
250,A,3,252.390
250,B,3,4.350
250,A,4,251.860
250,B,4,3.880
250,A,5,252.200
250,B,5,3.540
250,A,6,252.990
250,B,6,4.900
250,A,7,253.710
250,B,7,5.630
250,A,8,253.920
250,B,8,5.090
250,A,9,253.300
250,B,9,3.740
250,A,10,253.240
250,B,10,4.180
250,A,11,252.690
250,B,11,5.010
300,A,0,302.750
300,B,0,4.680
300,A,1,303.690
300,B,1,4.570
300,A,2,304.720
300,B,2,5.060
300,A,3,302.980
300,B,3,4.220
300,A,4,305.090
300,B,4,6.400
300,A,5,302.030
300,B,5,3.700
300,A,6,304.450
300,B,6,4.790
300,A,7,303.390
300,B,7,3.570
300,A,8,303.460
300,B,8,3.520
300,A,9,303.310
300,B,9,4.590
300,A,10,303.000
300,B,10,3.430
300,A,11,303.020
300,B,11,3.240
