pad_bytes,mode,rep,decision_ms,iso_bytes
0,A,0,1.520,1184
0,B,0,3.600,1184
0,A,1,2.060,1184
0,B,1,3.670,1184
0,A,2,1.670,1184
0,B,2,3.780,1184
0,A,3,2.340,1184
0,B,3,4.600,1184
0,A,4,3.130,1184
0,B,4,4.790,1184
0,A,5,1.460,1184
0,B,5,3.510,1184
0,A,6,1.740,1184
0,B,6,3.870,1184
0,A,7,2.850,1184
0,B,7,4.820,1184
1024,A,0,1.690,2208
1024,B,0,3.610,2208
1024,A,1,1.970,2208
1024,B,1,3.950,2208
1024,A,2,2.240,2208
1024,B,2,4.230,2208
1024,A,3,3.640,2208
1024,B,3,6.480,2208
1024,A,4,1.830,2208
1024,B,4,3.850,2208
1024,A,5,1.970,2208
1024,B,5,4.200,2208
1024,A,6,2.990,2208
1024,B,6,5.210,2208
1024,A,7,2.800,2208
1024,B,7,4.280,2208
10240,A,0,1.860,11424
10240,B,0,4.290,11424
10240,A,1,3.020,11424
10240,B,1,5.130,11424
10240,A,2,1.590,11424
10240,B,2,3.610,11424
10240,A,3,1.850,11424
10240,B,3,3.690,11424
10240,A,4,2.130,11424
10240,B,4,5.770,11424
10240,A,5,1.960,11424
10240,B,5,3.530,11424
10240,A,6,2.590,11424
10240,B,6,5.260,11424
10240,A,7,2.430,11424
10240,B,7,4.730,11424
102400,A,0,4.500,103584
102400,B,0,8.890,103584
102400,A,1,2.780,103584
102400,B,1,6.860,103584
102400,A,2,2.870,103584
102400,B,2,8.600,103584
102400,A,3,3.930,103584
102400,B,3,7.640,103584
102400,A,4,3.750,103584
102400,B,4,7.510,103584
102400,A,5,3.420,103584
102400,B,5,7.740,103584
102400,A,6,4.180,103584
102400,B,6,9.320,103584
102400,A,7,2.720,103584
102400,B,7,7.120,103584
1048576,A,0,21.720,1049760
1048576,B,0,54.840,1049760
1048576,A,1,14.030,1049760
1048576,B,1,48.230,1049760
1048576,A,2,16.900,1049760
1048576,B,2,43.050,1049760
1048576,A,3,13.820,1049760
1048576,B,3,47.580,1049760
1048576,A,4,16.550,1049760
1048576,B,4,40.920,1049760
1048576,A,5,23.700,1049760
1048576,B,5,48.810,1049760
1048576,A,6,15.030,1049760
1048576,B,6,40.170,1049760
1048576,A,7,14.550,1049760
1048576,B,7,42.130,1049760
