net_delay_ms,mode,sample,decision_ms
0,A,0,8.84
0,A,1,17.55
0,A,2,11.98
0,A,3,6.14
0,A,4,15.11
0,A,5,8.09
0,A,6,18.01
0,A,7,8.95
0,A,8,8.47
0,A,9,7.96
0,A,10,7.57
0,A,11,20.21
0,A,12,7.88
0,A,13,9.27
0,A,14,14.01
0,A,15,7.54
0,B,0,35.46
0,B,1,20.17
0,B,2,11.83
0,B,3,16.53
0,B,4,38.71
0,B,5,33.0
0,B,6,10.21
0,B,7,18.21
0,B,8,21.99
0,B,9,16.14
0,B,10,15.77
0,B,11,17.02
0,B,12,16.95
0,B,13,14.6
0,B,14,18.75
0,B,15,14.23
0,B,16,17.37
5,A,0,62.49
5,A,1,52.9
5,A,2,52.8
5,A,3,52.8
5,A,4,53.36
5,A,5,52.18
5,A,6,52.7
5,A,7,53.72
5,A,8,52.89
5,A,9,51.85
5,A,10,51.71
5,A,11,54.2
5,A,12,58.67
5,A,13,51.46
5,A,14,52.47
5,A,15,55.96
5,B,0,101.79
5,B,1,104.64
5,B,2,104.47
5,B,3,104.13
5,B,4,105.33
5,B,5,102.75
5,B,6,103.0
5,B,7,103.54
5,B,8,102.16
5,B,9,107.25
5,B,10,104.96
5,B,11,108.95
5,B,12,118.75
5,B,13,109.61
5,B,14,118.66
5,B,15,103.53
5,B,16,109.34
10,A,0,96.96
10,A,1,98.24
10,A,2,98.39
10,A,3,98.81
10,A,4,97.42
10,A,5,96.09
10,A,6,108.58
10,A,7,103.76
10,A,8,105.62
10,A,9,99.61
10,A,10,95.57
10,A,11,96.19
10,A,12,97.11
10,A,13,100.1
10,A,14,97.84
10,A,15,96.11
10,B,0,199.3
10,B,1,208.19
10,B,2,192.47
10,B,3,192.24
10,B,4,192.53
10,B,5,193.3
10,B,6,203.28
10,B,7,194.27
10,B,8,195.39
10,B,9,193.59
10,B,10,192.75
10,B,11,191.79
10,B,12,193.2
10,B,13,202.26
10,B,14,195.15
10,B,15,195.1
10,B,16,192.71
20,A,0,188.62
20,A,1,186.88
20,A,2,186.89
20,A,3,188.26
20,A,4,189.68
20,A,5,187.68
20,A,6,196.96
20,A,7,187.09
20,A,8,187.04
20,A,9,189.89
20,A,10,186.8
20,A,11,191.87
20,A,12,191.01
20,A,13,188.93
20,A,14,191.71
20,A,15,191.84
20,B,0,375.9
20,B,1,373.06
20,B,2,373.66
20,B,3,372.63
20,B,4,378.46
20,B,5,377.55
20,B,6,380.69
20,B,7,376.69
20,B,8,377.1
20,B,9,377.83
20,B,10,373.07
20,B,11,378.9
20,B,12,377.69
20,B,13,377.56
20,B,14,379.91
20,B,15,375.85
20,B,16,377.99
